name,countryId,geoRegionId,cityId,townId,districtId,quarterId,districtName,updated,type,id
Toklu Köyü,1,6,2,17,121,1020,Köyler,1.61192E+12,Quarter,1020
Yunusemre Mah.,1,0,16,191,909,10210,Duaçınarı,1.62276E+12,Quarter,10210
Anadolu Mah.,1,0,16,191,909,10211,Duaçınarı,1.62276E+12,Quarter,10211
Millet Mah.,1,0,16,191,909,10212,Duaçınarı,1.62276E+12,Quarter,10212
Vatan Mah.,1,0,16,191,909,10213,Duaçınarı,1.62276E+12,Quarter,10213
Arabayatağı Mh.,1,0,16,191,910,10214,Arabayatağı,1.62276E+12,Quarter,10214
Ulus Mah.,1,0,16,191,910,10215,Arabayatağı,1.62276E+12,Quarter,10215
Yavuz Selim Mah.,1,0,16,191,910,10216,Arabayatağı,1.62276E+12,Quarter,10216
Mevlana Mah.,1,0,16,191,910,10217,"Arabayatağı, Esenevler",1.62276E+12,Quarter,10217
Hacivat Mah.,1,0,16,191,911,10218,Hacıvat,1.62276E+12,Quarter,10218
Şirinevler Mh.,1,0,16,191,911,10219,Hacıvat,1.62276E+12,Quarter,10219
Yelbastı Köyü,1,6,2,17,121,1021,Köyler,1.61192E+12,Quarter,1021
Vakıf Mh.,1,0,16,191,911,10220,Hacıvat,1.62276E+12,Quarter,10220
İsabey Mh.,1,0,16,191,911,10221,Hacıvat,1.62276E+12,Quarter,10221
Demetevler Mah.,1,0,16,191,911,10222,Hacıvat,1.62276E+12,Quarter,10222
Çınarönü Mh.,1,0,16,191,911,10223,Hacıvat,1.62276E+12,Quarter,10223
Değirmenönü Mh.,1,0,16,191,912,10225,Esenevler,1.62276E+12,Quarter,10225
Fidyekızık Mh.,1,0,16,191,912,10226,Esenevler,1.62276E+12,Quarter,10226
Erikli Mah.,1,0,16,191,912,10227,Esenevler,1.62276E+12,Quarter,10227
Yiğitler Mh.,1,0,16,191,912,10228,Esenevler,1.62276E+12,Quarter,10228
Bağlaraltı Mh.,1,0,16,191,912,10229,Esenevler,1.62276E+12,Quarter,10229
Köseceli Bld.,1,6,2,17,121,1022,Köyler,0,Quarter,1022
75. Yıl Mh.,1,0,16,191,912,10230,Esenevler,1.62276E+12,Quarter,10230
Karapınar Mh.,1,0,16,191,912,10231,Esenevler,1.62276E+12,Quarter,10231
Ertuğrulgazi Mh.,1,0,16,191,913,10233,Ertuğrulgazi,1.62276E+12,Quarter,10233
Mimarsinan Mah.,1,0,16,191,913,10234,Ertuğrulgazi,1.62276E+12,Quarter,10234
Ortabağlar Mh.,1,0,16,191,913,10235,Ertuğrulgazi,1.62276E+12,Quarter,10235
Güllük Mh.,1,0,16,191,913,10236,Ertuğrulgazi,1.62276E+12,Quarter,10236
Değirmenlikızık Mh.,1,0,16,191,913,10237,Ertuğrulgazi,1.62276E+12,Quarter,10237
Kaplıkaya Mh.,1,0,16,191,913,10238,Ertuğrulgazi,1.62276E+12,Quarter,10238
Selçukbey Mh.,1,0,16,191,913,10239,Ertuğrulgazi,1.62276E+12,Quarter,10239
Siteler Mah.,1,0,16,191,913,10240,Ertuğrulgazi,1.62276E+12,Quarter,10240
Eğitim Mh.,1,0,16,191,914,10241,Eğitim,1.62276E+12,Quarter,10241
Baruthane Mah.,1,0,16,191,914,10242,Eğitim,1.62276E+12,Quarter,10242
Beyazıt Mh.,1,0,16,191,914,10243,Eğitim,1.62276E+12,Quarter,10243
