"";"city_id";"town_id";"city_town";"district_neighborhood";"neighborhood_id";"subdivisions"
"368";27;343;"27 - Sahinbey";"343 - ESENTEPE MH.";18330;NA
"369";27;343;"27 - Sahinbey";"343 - NURIPAZARBASI MH.";18355;NA
"370";27;343;"27 - Sahinbey";"343 - BEYDILLI MH.";19035;NA
"371";27;343;"27 - Sahinbey";"343 - CAMLICA MH.";18347;NA
"372";27;343;"27 - Sahinbey";"343 - TURKMENLER MH.";18342;NA
"373";27;343;"27 - Sahinbey";"343 - KURBANBABA MH.";18354;NA
"374";27;343;"27 - Sahinbey";"343 - TORELI MH.";18472;NA
"375";27;343;"27 - Sahinbey";"343 - AKDERE MH.";18318;NA
"376";27;343;"27 - Sahinbey";"343 - CENGIZ TOPEL MH.";18325;NA
"377";27;343;"27 - Sahinbey";"343 - KONAK MH.";18375;NA
"378";27;343;"27 - Sahinbey";"343 - GUZELVADI MH.";18332;NA
"379";27;343;"27 - Sahinbey";"343 - PERILIKAYA MH.";18389;NA
"380";27;343;"27 - Sahinbey";"343 - YESILPINAR MH.";18433;NA
"381";27;343;"27 - Sahinbey";"343 - 25 ARALIK MH.";18378;NA
"382";27;343;"27 - Sahinbey";"343 - VATAN MH.";18392;NA
"383";27;343;"27 - Sahinbey";"343 - YESILKENT MH.";18393;NA
"384";27;343;"27 - Sahinbey";"343 - BEYBAHCE MH.";18322;NA
"385";27;343;"27 - Sahinbey";"343 - BEYAZLAR MH.";18369;NA
"386";27;343;"27 - Sahinbey";"343 - YAMACTEPE MH.";18476;NA
"387";27;343;"27 - Sahinbey";"343 - BURC KARAKUYU MH.";18416;NA
"388";27;343;"27 - Sahinbey";"343 - ULAS MH.";18361;NA
"389";27;343;"27 - Sahinbey";"343 - KAVAKLIK MH.";18539;NA
"390";27;343;"27 - Sahinbey";"343 - KUCUKKIZILHISAR MH.";18419;NA
"391";27;343;"27 - Sahinbey";"343 - ONUR MH.";18356;NA
"392";27;343;"27 - Sahinbey";"343 - ISTIKLAL MH.";18373;NA
"393";27;343;"27 - Sahinbey";"343 - MALAZGIRT MH.";66455;NA
"394";27;343;"27 - Sahinbey";"343 - DENIZ MH.";18371;NA
"395";27;343;"27 - Sahinbey";"343 - BINEVLER MH.";18534;NA
"396";27;343;"27 - Sahinbey";"343 - BAHCELIEVLER MH.";18307;NA
"397";27;344;"27 - Sehitkamil";"344 - AKTOPRAK SB MH.";62414;NA
"398";27;344;"27 - Sehitkamil";"344 - NESIMI MH.";62404;NA
"399";27;344;"27 - Sehitkamil";"344 - YAPRAK MH.";59610;NA
"400";27;344;"27 - Sehitkamil";"344 - CAKMAK MH.";59599;NA
"401";27;344;"27 - Sehitkamil";"344 - INCILIKAYA MH.";55659;NA
"402";27;344;"27 - Sehitkamil";"344 - CAGLAYAN MH.";18515;NA
"403";27;344;"27 - Sehitkamil";"344 - EYDIBABA MH.";18517;NA
"404";27;344;"27 - Sehitkamil";"344 - HUMANIZ MH.";66344;NA
"405";27;344;"27 - Sehitkamil";"344 - GOZTEPE MH.";18519;NA
"406";27;344;"27 - Sehitkamil";"344 - SACIR MH.";66338;NA
"407";27;344;"27 - Sehitkamil";"344 - DULUKBABA MH.";18516;NA
"408";27;344;"27 - Sehitkamil";"344 - CIKSORUT MH.";18498;NA
"409";27;344;"27 - Sehitkamil";"344 - KARAOGLAN MH.";18502;NA
"410";27;344;"27 - Sehitkamil";"344 - KARSIYAKA MH.";18523;NA
"411";27;344;"27 - Sehitkamil";"344 - HURRIYET MH.";18522;NA
"412";27;344;"27 - Sehitkamil";"344 - MITHATPASA MH.";18526;NA
"413";27;344;"27 - Sehitkamil";"344 - SINAN OSB MH.";18629;NA
"414";27;344;"27 - Sehitkamil";"344 - HASIRCIOGLU MH.";18521;NA
"415";27;344;"27 - Sehitkamil";"344 - TASLICA MH.";18544;NA
"416";27;344;"27 - Sehitkamil";"344 - MUNUFPASA MH.";18527;NA
"417";27;344;"27 - Sehitkamil";"344 - YUNUS EMRE MH.";18532;NA
"418";27;344;"27 - Sehitkamil";"344 - SAM MH.";18554;NA
"419";27;344;"27 - Sehitkamil";"344 - GIRNE MH.";18499;NA
"420";27;344;"27 - Sehitkamil";"344 - NURTEPE MH.";18528;NA
"421";28;363;"28 - Kesap";"363 - GECIT KOYU";19602;"TAMGERİŞ MEVKİİ"
"422";29;368;"29 - Gumushane Merkez";"368 - YAGLIDERE KOYU";19882;"BULUT MEVKİİ"
"423";31;379;"31 - Altinozu";"379 - BOYNUYOGUN MH.";20668;NA
"424";31;379;"31 - Altinozu";"379 - YENISEHIR MH.";20704;NA
"425";31;379;"31 - Altinozu";"379 - TOKACLI MH.";20678;NA
"426";31;379;"31 - Altinozu";"379 - FATIKLI MH.";20661;NA
"427";31;379;"31 - Altinozu";"379 - SARILAR MH.";20662;NA
"428";31;379;"31 - Altinozu";"379 - HACIPASA MH.";58183;NA
"429";31;379;"31 - Altinozu";"379 - TURKMENMEZRAASI MH.";20689;NA
"430";31;379;"31 - Altinozu";"379 - YENIHISAR MH.";57218;NA
"431";31;379;"31 - Altinozu";"379 - SARIBUK MH.";20699;NA
"432";31;379;"31 - Altinozu";"379 - SIVRIKAVAK MH.";20701;NA
"433";31;379;"31 - Altinozu";"379 - TOKDEMIR MH.";20679;NA
"434";31;379;"31 - Altinozu";"379 - KANSU MH.";20685;NA
"435";31;379;"31 - Altinozu";"379 - AVUTTEPE MH.";20667;NA
"436";31;1068;"31 - Antakya";"1068 - APAYDIN MH.";20531;NA
"437";31;1068;"31 - Antakya";"1068 - MEYDAN MH.";20513;NA
"438";31;1068;"31 - Antakya";"1068 - NARLICA MH.";20649;NA
"439";31;1068;"31 - Antakya";"1068 - SEYHALI MH.";59601;NA
"440";31;1068;"31 - Antakya";"1068 - ORHANLI MH.";55831;NA
"441";31;1068;"31 - Antakya";"1068 - KOCAABDI MH.";55678;NA
"442";31;1068;"31 - Antakya";"1068 - HACI OMER ALPAGOT MH.";55672;NA
"443";31;1068;"31 - Antakya";"1068 - BARBAROS MH.";59602;NA
"444";31;1068;"31 - Antakya";"1068 - HABIB-I NECCAR MH.";20526;NA
"445";31;1068;"31 - Antakya";"1068 - AKCAOVA MH.";20593;NA
"446";31;1068;"31 - Antakya";"1068 - HARAPARASI MH.";20512;NA
"447";31;1068;"31 - Antakya";"1068 - IPLIK PAZARI MH.";55676;NA
"448";31;1068;"31 - Antakya";"1068 - EMEK MH.";20503;NA
"449";31;1068;"31 - Antakya";"1068 - BINICILER MH.";55671;NA
"450";31;1068;"31 - Antakya";"1068 - SEHITLER MH.";55661;NA
"451";31;1068;"31 - Antakya";"1068 - AKHISAR MH.";55827;NA
"452";31;1068;"31 - Antakya";"1068 - AKSARAY MH.";20509;NA
"453";31;1068;"31 - Antakya";"1068 - MELEKLI MH.";20587;NA
"454";31;1068;"31 - Antakya";"1068 - YENI CAMII MH.";20525;NA
"455";31;1068;"31 - Antakya";"1068 - ULUCAMII MH.";20527;NA
"456";31;1068;"31 - Antakya";"1068 - SOFULAR MH.";20603;NA
"457";31;1068;"31 - Antakya";"1068 - AYDINLIKEVLER MH.";20514;NA
"458";31;1068;"31 - Antakya";"1068 - DUTDIBI MH.";55650;NA
"459";31;1068;"31 - Antakya";"1068 - MASUKLU MH.";20657;NA
"460";31;1068;"31 - Antakya";"1068 - CUMHURIYET MH.";20658;NA
"461";31;1068;"31 - Antakya";"1068 - ALTINCAY MH.";20504;NA
"462";31;1068;"31 - Antakya";"1068 - AVSUYU MH.";59621;NA
"463";31;1068;"31 - Antakya";"1068 - BOZHOYUK MH.";20534;NA
"464";31;1068;"31 - Antakya";"1068 - BOHSIN MH.";20545;NA
"465";31;380;"31 - Belen";"380 - CUMHURIYET MH.";62496;NA
"466";31;380;"31 - Belen";"380 - BAKRAS MH.";20710;NA
"467";31;380;"31 - Belen";"380 - DEREBAHCE MH.";20709;NA
"468";31;380;"31 - Belen";"380 - MUHLISALI MH.";20706;NA
"469";31;384;"31 - Iskenderun";"384 - MURADIYE MH.";20857;NA
"470";31;384;"31 - Iskenderun";"384 - ESENTEPE MH.";20847;NA
"471";31;384;"31 - Iskenderun";"384 - BARBAROS MH.";20829;NA
"472";31;384;"31 - Iskenderun";"384 - CUMHURIYET MH.";20825;NA
"473";31;384;"31 - Iskenderun";"384 - DUMLUPINAR MH.";57604;NA
"474";31;385;"31 - Kirikhan";"385 - TORUN MH.";20958;NA
"475";31;385;"31 - Kirikhan";"385 - KURTULUS MH.";20904;NA
"476";31;385;"31 - Kirikhan";"385 - GUNDUZ MH.";58051;NA
"477";31;385;"31 - Kirikhan";"385 - CILOGLANHUYUGU MH.";20924;NA
"478";31;385;"31 - Kirikhan";"385 - GULTEPE MH.";20963;NA
"479";31;385;"31 - Kirikhan";"385 - YENI MH.";20911;NA
"480";31;385;"31 - Kirikhan";"385 - MENDERES MH.";54119;NA
"481";31;385;"31 - Kirikhan";"385 - ALSANCAK MH.";20910;NA
"482";31;385;"31 - Kirikhan";"385 - BARBAROS MH.";20903;NA
"483";31;385;"31 - Kirikhan";"385 - FATIH MH.";20905;NA
"484";31;385;"31 - Kirikhan";"385 - 408 EVLER MH.";20909;NA
"485";31;385;"31 - Kirikhan";"385 - MURATPASA MH.";20946;NA
"486";31;385;"31 - Kirikhan";"385 - GAZI MH.";20901;NA
"487";31;385;"31 - Kirikhan";"385 - CATALTEPE MH.";20923;NA
"488";31;385;"31 - Kirikhan";"385 - AYDINLI MH.";20906;NA
"489";31;385;"31 - Kirikhan";"385 - ALPARSLAN MH.";20908;NA
"490";31;385;"31 - Kirikhan";"385 - MAHMUTLU MH.";20945;NA
"491";31;385;"31 - Kirikhan";"385 - BAHCELIEVLER MH.";20913;NA
"492";31;385;"31 - Kirikhan";"385 - GUVENTASI MH.";20929;NA
